A lot of movies treat kids like idiots.;Anna Chlumsky;movies
I've always wanted to make movies.;Fred Durst;movies
I think ever since I was preteen I wanted to direct movies and tell stories.;Fred Durst;movies
I want to make timeless movies.;Fred Durst;movies
When I started to watch some of the films I'd done, I realized I was doing movies that I might not actually want to see.;Heath Ledger;movies
Making movies is difficult and you get disorientated sometimes - even when you're working with fantastic talent.;Antonio Banderas;movies
I've done many different movies in many different contexts.;Antonio Banderas;movies
Listen, I think movies serve many different purposes, from those movies that are frivolous and just an entertainment, to movies that just go to exploring the complexities of the human soul. Everything is valid if it's done with honesty and dignity, and I actually do both of those types of movies in my career.;Antonio Banderas;movies
I cry a lot, you know. Which is very difficult for a man to recognise, but I do. I cry in movies, you know, just watching movies.;Antonio Banderas;movies
There are some movies that I would like to forget, for the rest of my life - really! But even those movies that I'd like to forget teach me things.;Antonio Banderas;movies
I remember being a kid and sleeping over at my friend's house and staying up late and watching 'Nosferatu.' Vampire movies are supposed to be secret and bad. They should be rated R.;Ethan Hawke;movies
The nature of the movies is different than it was five years ago, and they're all driven by the possibilities of CGI, which means you can make anything happen on screen that you can possibly desire.;Tom Hanks;movies
It's just as hard... staying happily married as it is doing movies.;Tom Hanks;movies
I've made over 20 movies, and 5 of them are good.;Tom Hanks;movies
The nature of motion capture is only going to work for certain films. It's not going to put any other type of movies out of business.;Tom Hanks;movies
I hadn't made a big-budget film, and in Hollywood there's a sort of man and boys situation. You're a man, you make $80 million movies! As if it's harder to make an $80 million movie. Well, I guess businesswise it is because you have more executives to argue with.;Gus Van Sant;movies
I think I took my eye off the ball. From about 2005, 2006, 2007, I was out of it. I thought I could oversee movies and have it done for me, so to speak.;Harvey Weinstein;movies
I've been involved with violent movies, and then I've also said at a certain point, 'I can't take it anymore. Please cut it.' You know, you've got to respect the filmmaker, and it's a really tough issue.;Harvey Weinstein;movies
We didn't care if we were well-liked as long as the movies were good. We served the movie - that was our master at Miramax. In our second incarnation, the movie is still the master but we're getting the same results in more subtle ways.;Harvey Weinstein;movies
When we talk about Oscars, it's almost as a symbol of excellence, and the American public and the worldwide public accept that symbol. So, a movie like 'The Artist' that costs $14 million, has to go out and compete with movies that cost $140 million. How does David deal with Goliath?;Harvey Weinstein;movies
Last year, when 'Black Swan,' 'True Grit' and 'King's Speech' all grossed over $100 million, it gave studios and independent financiers the confidence to make daring movies and not do the same old you-know-what.;Harvey Weinstein;movies
My movies are important on an economic basis, on an artistic basis.;Harvey Weinstein;movies
When people ask me what makes movies great, it's the material.;Harvey Weinstein;movies
