I have always written poetry but I have never applied it to songwriting.;Janine Turner;poetry
We all need ways to express ourselves, and poetry is one of mine.;Jack Prelutsky;poetry
Poetry seems to sink into us the way prose doesn't. I can still quote verses I learned when I was very young, but I have trouble remembering one line of a novel I just finished reading.;Jack Prelutsky;poetry
Otherwise I don't read much adult poetry at all, because I'm not smart enough and mostly I don't get it.;Jack Prelutsky;poetry
I look for poetry in English because it's the only language I read.;Jack Prelutsky;poetry
Frankly, writing poetry for children is plain old fun, and I consider myself blessed to have such a delightful career.;Jack Prelutsky;poetry
Children seem naturally drawn to poetry - it's some combination of the rhyme, rhythm, and the words themselves.;Jack Prelutsky;poetry
That is what I did with Jack, and that's why he liked to do the readings with me because he knew I was there for him, and for our ability to blend the poetry and the music.;David Amram;poetry
There is a wonderful Hungarian literature, especially in lyric poetry.;Gyorgy Ligeti;poetry
I did know Ted Hughes and I partly wrote the book to explain to myself and others the complexities of a marriage that was for six years wonderfully productive of poetry and then ended in tragedy.;Anne Stevenson;poetry
I don't like poetry that just slaps violent words on a canvas, as it were.;Anne Stevenson;poetry
I have always made my own rules, in poetry as in life - though I have tried of late to cooperate more with my family. I do, however, believe that without order or pattern poetry is useless.;Anne Stevenson;poetry
I'm not really quiet or shy. Ask any of my friends! But I always ground my poetry in life itself. Poetry is an art of language, though, so I am always aware of every word's meaning, or multiple meanings.;Anne Stevenson;poetry
Poets should ignore most criticism and get on with making poetry.;Anne Stevenson;poetry
Poetry operates by hints and dark suggestions. It is full of secrets and hidden formulae, like a witch's brew.;Anthony Hecht;poetry
There is no gilding of setting sun or glamor of poetry to light up the ferocious and endless toil of the farmers' wives.;Hamlin Garland;poetry
Poetry is at least an elegance and at most a revelation.;Robert Fitzgerald;poetry
Journalism wishes to tell what it is that has happened everywhere as though the same things had happened for every man. Poetry wishes to say what it is like for any man to be himself in the presence of a particular occurrence as though only he were alone there.;Archibald MacLeish;poetry
Conventional wisdom notwithstanding, there is no reason either in football or in poetry why the two should not meet in a man's life if he has the weight and cares about the words.;Archibald MacLeish;poetry
If we ask a vague question, such as, 'What is poetry?' we expect a vague answer, such as, 'Poetry is the music of words,' or 'Poetry is the linguistic correction of disorder.';A. R. Ammons;poetry
Probably all the attention to poetry results in some value, though the attention is more often directed to lesser than to greater values.;A. R. Ammons;poetry
I am grateful for - though I can't keep up with - the flood of articles, theses, and textbooks that mean to share insight concerning the nature of poetry.;A. R. Ammons;poetry
Once every five hundred years or so, a summary statement about poetry comes along that we can't imagine ourselves living without.;A. R. Ammons;poetry
Poetry leads us to the unstructured sources of our beings, to the unknown, and returns us to our rational, structured selves refreshed.;A. R. Ammons;poetry
The poet exposes himself to the risk. All that has been said about poetry, all that he has learned about poetry, is only a partial assurance.;A. R. Ammons;poetry
That's a wonderful change that's taken place, and so most poetry today is published, if not directly by the person, certainly by the enterprise of the poet himself, working with his friends.;A. R. Ammons;poetry
